Professor Name,Research Area,Biography,Research Interests,Education,doc_id
Mirek Riedewald,Data Management; Data Science,"Mirek Riedewald is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Databases; Data mining,"PhD in Computer Science, University of California, Santa Barbara; BS in Computer Science, Saarland University — Germany",1984
Misha Pavel,Personal Health Informatics,"Misha Pavel is a research professor in the Khoury College of Computer Sciences and the Bouvé College of Health Sciences at Northeastern University, based in Boston.",Behavioral informatics,"PhD in Experimental/Mathematical Psychology, New York University; MS in Electrical Engineering, Stanford University; BS in Electrical Engineering, Polytechnic Institute of Brooklyn",1985
Mohit Singhal,Cybersecurity and Privacy,"Mohit Singhal is an assistant teaching professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Data science; Security and privacy,"PhD in Computer Science, The University of Texas at Arlington; MS in Computer Science, The University of Texas at Arlington; BTech in Computer Science and Engineering, Jaypee University of Information Technology — India",1986
Nate Derbinsky,Artificial Intelligence; Computer Science Education,"Nate Derbinsky's research interests combine artificial intelligence, optimization, machine learning, and database systems. He recently helped invent the Boundary Forest Algorithm, an online instance-based approach for supervised and unsupervised learning, as well as the Three-Weight Algorithm, a general and distributed algorithm based on the Alternating Direction Method of Multipliers that has been effectively applied to large-scale problems in robotics, control, protein folding, and multi-dimensional packing. He also works with the Soar cognitive architecture, enabling a broad range of artificial intelligence systems endowed with effective and efficient long-term memory. In work with undergraduates, he created CHUCK, a robot that still needs some work, but will eventually beat its creator in a game of cornhole!",Artificial intelligence; Machine learning,"PhD in Computer Science and Engineering, University of Michigan; MS in Computer Science and Engineering, University of Michigan; BS in Computer Science, North Carolina State University",1987
Olga Vitek,Computational Biology; Data Science,"Olga Vitek is the Raymond Bradford Bradstreet Professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. She is also the director of the Barnett Institute for Chemical and Biological Analysis and the former Sy and Laurie Sternberg Interdisciplinary Associate Professor.",Statistical and computational methods for systems-wide molecular investigations of biological organisms,"PhD in Statistics, Purdue University; MS in Mathematical Statistics, Purdue University; BS, University of Geneva — Switzerland",1988
Olin Shivers,Programming Languages; Software Engineering,"Olin Shivers is a professor in the Khoury College of Computer Science at Northeastern University, based in Boston.",Programming languages; Systems and networking; Compilers,"PhD in Computer Science, Carnegie Mellon University; BS in Computer Science and Mathematics, Yale University",1989
Panagiotis (Pete) Manolios,Formal Methods,"Pete Manolios is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He leads the computer-aided reasoning group.","Computer-aided modeling, verification, analysis, and synthesis of systems; Formal methods; Distributed computing; Programming languages; Software engineering; Aerospace","PhD in computer science, University of Texas at Austin; BS in computer science, Brooklyn College",1990
Paul Hand,Algorithms and Theory,"Paul Hand is an assistant professor in the Khoury College of Computer Sciences and the College of Science at Northeastern University, based in Boston.",Theory and algorithms for machine learning and artificial intelligence,"PhD in Mathematics, Courant Institute of Mathematical Sciences at New York University; BS in Applied and Computational Mathematics, California Institute of Technology",1991
Peter Desnoyers,Systems and Networking,"Peter Desnoyers is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Integration of emerging storage technologies into existing software infrastructures; Algorithms for Flash storage; Shingled magnetic recording disk drives; Operating systems,"PhD in Computer Science, The University of Massachusetts, Amherst; MS in Electrical Engineering and Computer Science, Massachusetts Institute of Technology; BS in Electrical Engineering and Computer Science, Massachusetts Institute of Technology",1992
Predrag Radivojac,Computational Biology; Data Science,"Predrag Radivojac is a professor, director of the master's program in data science, and associate dean of research in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Computational biology; Machine learning,"PhD in computer and information sciences, Temple University; MS in electrical engineering, University of Belgrade — Serbia; BS in electrical engineering, University of Novi Sad — Serbia",1993
