Professor Name,Profile URL,Biography,Research Interests,Education,doc_id
Ehsan Elhamifar,https://www.khoury.northeastern.edu/people/ehsan-elhamifar/,"Ehsan Elhamifar is an associate professor and director of the master’s in AI program in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is affiliated with the College of Engineering.",Artificial intelligence; Computer vision; Machine learning,"PhD in Electrical and Computer Engineering, Johns Hopkins University; MS in Engineering, Johns Hopkins University; MS in Electrical Engineering, Sharif University of Technology — Iran; BS in Biomedical Engineering, Amirkabir University of Technology — Iran",1909
Tina Eliassi-Rad,https://www.khoury.northeastern.edu/people/tina-eliassi-rad/,"Tina Eliassi-Rad is the inaugural Joseph E. Aoun Professor at Northeastern University, based in Boston. She is also a core faculty member at Northeastern's Network Science Institute and the Institute for Experiential AI, as well as an external faculty member at the Santa Fe Institute and the Vermont Complex Systems Center.",Data mining; Machine learning; Network science; Ethics and artificial intelligence,"PhD in Computer Science, University of Wisconsin-Madison; MS in Computer Science, University of Illinois at Urbana-Champaign; BS in Computer Science, University of Wisconsin-Madison",1910
Usama Fayyad,https://www.khoury.northeastern.edu/people/usama-fayyad/,"Usama Fayyad is a professor of the practice in the Khoury College of Computer Sciences and the executive director of the Institute for Experiential AI at Northeastern University, based at the Roux Institute in Portland, Maine.",Data mining; Image processing; Machine intelligence; Machine learning; Inductive learning,"PhD in Computer Science and Engineering, University of Michigan; MS in Mathematics and Computer Science and Engineering, University of Michigan; BS in Electrical Engineering and Computer Engineering, University of Michigan",1911
Sina Fazelpour,https://www.khoury.northeastern.edu/people/sina-fazelpour/,"Sina Fazelpour is an assistant professor in the Khoury College of Computer Sciences and the College of Social Sciences and Humanities at Northeastern University, based in Boston.",Data-driven and artificial intelligence technologies; Diversity in social groups and networks,"PhD in Philosophy, University of British Columbia — Canada; BA in Philosophy, University of Toronto — Canada; MS in Medical Biophysics, University of Toronto — Canada; BE in Electrical and Biomedical Engineering, McMaster University — Canada",1912
Yun Raymond Fu,https://www.khoury.northeastern.edu/people/raymond-yun-fu/,"Yun Raymond Fu is a professor in the College of Engineering and the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Machine learning; Computational intelligence; Big data mining; Computer vision; Pattern recognition; Cyber-physical systems,"PhD in Electrical and Computer Engineering, University of Illinois at Urbana-Champaign; MS in Statistics, University of Illinois at Urbana-Champaign; BEng in Information Engineering, Xi'an Jiaotong University — China",1913
Wengong Jin,https://www.khoury.northeastern.edu/people/wengong-jin/,"Wengong Jin is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Computational biology; Machine learning,"PhD in Electrical Engineering and Computer Science, Massachusetts Institute of Technology",1914
Bruce Maxwell,https://www.khoury.northeastern.edu/people/bruce-maxwell/,"Bruce Maxwell is a teaching professor and assistant director of computing programs at Northeastern University’s Seattle campus. He earned both his bachelor’s degrees in political science and engineering from Swarthmore College, his master of philosophy in computer speech and natural language processing from the University of Cambridge, and his PhD in robotics from Carnegie Mellon University. His areas of teaching include computer vision, computer graphics, robotics, machine learning, and more.",Computer vision; Machine learning; Robotics; Data science,"PhD in Robotics, Carnegie Mellon University; MPhil in Computer Speech and Natural Language Processing, University of Cambridge; BS in Engineering, Swarthmore College; BA in Political Science, Swarthmore College",1915
Varun Mishra,https://www.khoury.northeastern.edu/people/varun-mishra/,"Varun Mishra is an assistant professor in the Khoury College of Computer Sciences and the Bouvé College of Health Sciences at Northeastern University, based in Boston.",Ubiquitous computing for mental and behavioral health; mHealth sensing and intervention; Digital phenotyping; Personal health informatics,"PhD in Computer Science, Dartmouth College; BTech in Computer Science and Engineering, Shiv Nadar University — India",1916
Mahsan Nourani,https://www.khoury.northeastern.edu/people/mahsan-nourani/,"Mahsan Nourani is a research assistant professor in the Khoury College of Computer Sciences at Northeastern University, based at the Roux Institute in Portland, Maine.",,"PhD in Computer Science, University of Florida; MSc in Computer Science, University of Florida; BE in Information Technology (Computer Engineering), University of Tehran — Iran",1917
Alina Oprea,https://www.khoury.northeastern.edu/people/alina-oprea/,"Alina Oprea is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Security analytics; Cloud security; Network security; Applied cryptography,"PhD in Computer Science, Carnegie Mellon University; MS in Computer Science, Carnegie Mellon University; BS in Mathematics and Computer Science, University of Bucharest — Romania",1918
Lace Padilla,https://www.khoury.northeastern.edu/people/lace-padilla/,"Lace Padilla is an assistant professor in the Khoury College of Computer Sciences and the College of Science at Northeastern University, based in Boston and Oakland.",,"PhD in Cognitive and Neural Sciences, University of Utah; MS in Cognitive and Neural Sciences, University of Utah; MFA in Design, University of Utah; BFA in Multimedia, Pacific Northwest College of Art",1919
Jose Perea,https://www.khoury.northeastern.edu/people/jose-perea/,"Jose Perea is an associate professor in the Khoury College of Computer Sciences and the College of Science at Northeastern University, based in Boston.",Data science; Machine learning; Algorithms and theory,"PhD in Mathematics, Stanford University; BS in Mathematics, Universidad del Valle — Colombia",1920
Ryan M. Rad,https://www.khoury.northeastern.edu/people/ryan-m-rad/,"Ryan M. Rad is an assistant teaching professor at the Khoury College of Computer Sciences at Northeastern University in Vancouver. He earned his bachelor’s in computer engineering from the University of Guilan, his master’s in computer science from the University of Malaya, and his PhD in applied sciences from Simon Fraser University. His areas of teaching include machine learning, data analytics, and visualization software engineering algorithms. Rad is currently research active in computational biology, machine learning, and personal health informatics.",Machine learning; Computer vision; Generative models; Data science,"PhD in Applied Sciences, Simon Fraser University — Canada; MS in Computer Science, University of Malaya — Malaysia; BE in Computer Engineering, University of Guilan — Iran",1921
Saiph Savage,https://www.khoury.northeastern.edu/people/saiph-savage/,"Saiph Savage is an assistant professor and director of the Civic AI Lab in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Artificial intelligence; Human–computer interaction; Data science; Network science; Machine learning,"PhD in Computer Science; University of California, Santa Barbara; MA in Computer Science; University of California, Santa Barbara; BA in Computer Engineering, Universidad Nacional Autónoma de México — Mexico",1922
Rajagopal Venkatesaramani,https://www.khoury.northeastern.edu/people/rajagopal-venkatesaramani/,"Rajagopal Venkatesaramani is an assistant teaching professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",,"PhD in Computer Science, Washington University in St. Louis; MS in Computer Science, Washington University in St. Louis; BTech in Computer Science, Shiv Nadar University — India",1923
Byron Wallace,https://www.khoury.northeastern.edu/people/byron-wallace/,"Byron Wallace is an associate dean of graduate programs, director for the undergraduate data science program, and the Sy and Laurie Sternberg Interdisciplinary Associate Professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Data mining; Machine learning; Natural language processing,"PhD in Computer Science, Tufts University; BS in Computer Science, University of Massachusetts at Amherst",1924
Robin Walters,https://www.khoury.northeastern.edu/people/robin-walters/,"Robin Walters is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Deep learning; Equivariant neural networks; Representation theory; Algebraic geometry,"PhD in Mathematics, University of Chicago; AB in Mathematics, Harvard University",1925
Dakuo Wang,https://www.khoury.northeastern.edu/people/dakuo-wang/,"Dakuo Wang is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Human–computer interaction; Human–AI collaboration; Natural language processing; Health informatics; Data science; Computer-supported cooperative work,"PhD in Informatics, UC Irvine; MS in Computer and Information Sciences, UC Irvine; MS in Electrical Engineering, UC Irvine; BS in Computer Science, Beijing University of Technology — China",1926
Lawson Wong,https://www.khoury.northeastern.edu/people/lawson-wong/,"Lawson L.S. Wong is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",,"PhD, Massachusetts Institute of Technology",1927
Kylie Ariel Bemis,https://www.khoury.northeastern.edu/people/kylie-ariel-bemis/,"Kylie Ariel Bemis is an assistant teaching professor at the Khoury College of Computer Sciences at Northeastern University. She is interested in statistical computing environments and methods for complex data, especially datasets with non-trivial correlation structures or that integrate data from multiple sources",Statistical computing environments; Methods for complex data,"PhD in Statistics, Purdue University; MS in Applied Statistics, Purdue University; BS in Statistics and Mathematics, Purdue University",1928
Benjamin Gyori,https://www.khoury.northeastern.edu/people/benjamin-gyori/,"Benjamin M. Gyori is an associate professor in the Khoury College of Computer Sciences and the College of Engineering at Northeastern University, based in Boston.",,"PhD in Computational Biology, National University of Singapore; BSc in Computer Engineering, Budapest University of Technology and Economics — Hungary",1929
Predrag Radivojac,https://www.khoury.northeastern.edu/people/predrag-radivojac/,"Predrag Radivojac is a professor, director of the master's program in data science, and associate dean of research in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Computational biology; Machine learning,"PhD in computer and information sciences, Temple University; MS in electrical engineering, University of Belgrade — Serbia; BS in electrical engineering, University of Novi Sad — Serbia",1930
Olga Vitek,https://www.khoury.northeastern.edu/people/olga-vitek/,"Olga Vitek is the Raymond Bradford Bradstreet Professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. She is also the director of the Barnett Institute for Chemical and Biological Analysis and the former Sy and Laurie Sternberg Interdisciplinary Associate Professor.",Statistical and computational methods for systems-wide molecular investigations of biological organisms,"PhD in Statistics, Purdue University; MS in Mathematical Statistics, Purdue University; BS, University of Geneva — Switzerland",1931
Adeel Bhutta,https://www.khoury.northeastern.edu/people/adeel-bhutta/,Adeel A. Bhutta is an associate teaching professor at the Khoury College of Computer Sciences at Northeastern University.,Artificial intelligence; Machine learning; Software engineering; Computer science education,"PhD in Computer Engineering, University of Central Florida; MS in Computer Engineering, University of Central Florida; MS in Computer Science, University of Central Florida; BS in Electronic Engineering, GIK Institute — Pakistan",1932
Ryan Bockmon,https://www.khoury.northeastern.edu/people/ryan-bockmon/,"Ryan Bockmon is an assistant teaching professor at the Khoury College of Computer Sciences at Northeastern University, based at the Roux Institute in Portland, Maine.",,"PhD in Computer Science, University of Nebraska–Lincoln; BS in Computer Science, Montana State University",1933
Carla E. Brodley,https://www.khoury.northeastern.edu/people/carla-brodley/,Carla E. Brodley is the dean of inclusive computing and the founding executive director of the Center for Inclusive Computing (CIC) at Northeastern University. She is the dean emeritus of the Khoury College of Computer Sciences.,Computing education research; Broadening participation in computing; University administration,"PhD in Computer Science, University of Massachusetts at Amherst; MS in Computer Science, University of Massachusetts at Amherst; BA in Mathematics and Computer Science, McGill University — Canada",1934
Arjun Guha,https://www.khoury.northeastern.edu/people/arjun-guha/,"Arjun Guha is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Programming languages,"PhD in Computer Science, Brown University; BA in Computer Science, Grinnell College",1935
Lama Hamandi,https://www.khoury.northeastern.edu/people/lama-hamandi/,"Lama Hamandi is an associate teaching professor in the Khoury College of Computer Sciences at Northeastern University, based in Silicon Valley and Oakland.",Computer science education,"PhD in Electrical and Computer Engineering, Ohio State University; MS in Electrical and Computer Engineering, Ohio State University; BS in Electrical Engineering, American University of Beirut",1936
Jeongkyu Lee,https://www.khoury.northeastern.edu/people/jeongkyu-lee/,"Jeongkyu Lee is a teaching professor at the Khoury College of Computer Sciences at Northeastern University’s Silicon Valley campus. He earned his bachelor’s in mathematics from Sungkyunkwan University, master’s in computer science from Sogang University, and PhD in computer science and engineering from the University of Texas at Arlington. His areas of teaching include big data, NoSQL database, Python, and statistics.",Big data; Machine learning; Robotics; Computer vision; Database systems; Data visualization; Deep learning,"PhD in Computer Science and Engineering, University of Texas at Arlington; MS in Computer Science, Sogang University; BS in Mathematics, Sungkyunkwan University",1937
Benjamin Lerner,https://www.khoury.northeastern.edu/people/benjamin-lerner/,"Benjamin Lerner is an associate teaching professor at the Khoury College of Computer Sciences at Northeastern University. He earned his doctorate in computer science at the University of Washington, Seattle and his bachelor’s in computer science and mathematics at Yale University. At Northeastern, Lerner teaches Fundamentals of Computer Science, Object-Oriented Design, and Compilers. He received awards for CCIS Teacher of the Year and University Excellence in Teaching in 2017. In the past, Lerner worked for Microsoft and MSR, and has taught at the Johns Hopkins Center for Talented Youth Program.",Programming languages; Computer science education,"PhD in Computer Science, University of Washington; BS in Computer Science and Mathematics, Yale University",1938
Albert Lionelle,https://www.khoury.northeastern.edu/people/albert-lionelle/,Albert Lionelle is an associate teaching professor and the director of Align at the Khoury College of Computer Sciences at Northeastern University. He earned his bachelor's and his PhD degrees in computer science from Colorado State University.,Computer science education; Inclusive pedagogy; Grading practices; Learning and recall practices based in psychology; Learning analytics; Learning tools design,"PhD in Computer Science, Colorado State University; MS in Computer Science, Colorado State University; BS in Computer Science, Colorado State University",1939
Felix Muzny,https://www.khoury.northeastern.edu/people/felix-muzny/,"Felix Muzny is the director of teaching assistants, a clinical instructor, and a doctoral student at the Khoury College of Computer Sciences at Northeastern University, based in Boston.",,"MS in Computer Science, Stanford University; BS in Computer Science, University of Washington; BA in English, University of Washington",1940
Vance Ricks,https://www.khoury.northeastern.edu/people/vance-ricks/,"Vance Ricks is an associate teaching professor at Northeastern University, holding joint appointments with the Khoury College of Computer Sciences and the College of Social Sciences and Humanities. Ricks’ teaching and research focus on ethical dimensions of computer technologies, and he is affiliated with the Algorithm Auditing Research Group at Northeastern.",Friendships and parasocial relationships online; Human-computer interaction; Artificial intelligence,"PhD in Philosophy, Stanford University; BA, Guilford College",1941
Sami Rollins,https://www.khoury.northeastern.edu/people/sami-rollins/,"Sami Rollins is a teaching professor and Director of Graduate Computing Programs in the Khoury College of Computer Sciences at Northeastern University in Oakland. She was previously a professor of Computer Science at the University of San Francisco (USF), and she has served as a program director in the Division of Undergraduate Education at the National Science Foundation and as a faculty member at Mount Holyoke College. She holds a BA in Computer Science from Mills College and MS and PhD degrees from the University of California at Santa Barbara. Rollins's research interests include broadening participation in computing, computer science education, and mobile and distributed computing. She contributes to an NSF-funded S-STEM project that awards scholarships to students studying computing at USF. The project implements a suite of community-building activities designed to improve scholars' self-efficacy and develop computing identity. Rollins also co-directed a project that developed system support and user-driven strategies for improving energy efficiency in residential buildings.Rollins has served in a number of service roles. She was chair of the Computer Science department at USF from 2013-2016. She also served on the editorial board of Sigmobile’s GetMobile Magazine from 2014-2018. She has been involved with the discipline-specific Networking Networking Women community since 2010, serving as mentor, fellowship co-chair, and workshop co-chair. She was co-chair of the board of Networking Networking Women from 2016 to 2018.",Broadening participation in computing; Computer science education; Mobile and distributed computing; Home energy management,"PhD in Computer Science, University of California Santa Barbara; MS in Computer Science, University of California Santa Barbara; BA in Computer Science, Mills College",1942
Ilmi Yoon,https://www.khoury.northeastern.edu/people/ilmi-yoon/,"Ilmi Yoon is a teaching professor and a director of computing programs in the Khoury College of Computer Sciences at Northeastern University, based in Silicon Valley.",Artificial intelligence; Computational biology; Human-computer interaction; Machine learning,"PhD in Computer Graphics, University of Southern California; MS in Computer Science, University of Southern California; BS in Computer Science, Yonsei University — South Korea",1943
Tamara Bonaci,https://www.khoury.northeastern.edu/people/tamara-bonaci/,Tamara Bonaci is an associate teaching professor at the Khoury College of Computer Sciences at Northeastern University’s Seattle campus. She teaches security and privacy courses at Northeastern University’s Seattle campus and the University of Washington. Bonaci's research focuses on the security and privacy of emerging and forthcoming biomedical technologies.,Security and privacy of biomedical technologies; Security and privacy issues of neural engineering systems; Quantifying private information from electrophysiological signals,"PhD in Electrical Engineering, University of Washington; MS in Electrical Engineering, University of Washington",1944
David Choffnes,https://www.khoury.northeastern.edu/people/david-choffnes/,"David Choffnes is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is the executive director and a founding member of Northeastern's Cybersecurity and Privacy Institute, which aims to safeguard critical technology by forging partnerships with industry leaders and international academics.","Distributed systems; Networking; Privacy and security; Measuring deployed Internet-scale systems (including mobile and IoT); Designing solutions to address problems with reliability, efficiency, and security","PhD in Computer Science, Northwestern University; MS in Computer Science, Northwestern University; BA in Physics and French, Amherst College",1945
Michael Ann DeVito,https://www.khoury.northeastern.edu/people/michael-ann-devito/,"Michael Ann DeVito is an assistant professor in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",,"PhD in Media, Technology, and Society, Northwestern University; MA in Media and Public Affairs, George Washington University; BA in Journalism and Mass Communication, George Washington University",1946
Laura Edelson,https://www.khoury.northeastern.edu/people/laura-edelson/,"Laura Edelson is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",,"PhD in Computer Science, New York University; BS Computer Science, Pace University",1947
Kevin Fu,https://www.khoury.northeastern.edu/people/kevin-fu/,"Kevin Fu is a professor at Northeastern University's Khoury College of Computer Sciences and College of Engineering, where he founded and directs the Archimedes Center for Health Care and Medical Device Cybersecurity.",Analog cybersecurity; Internet of Things; Medical device security; Security and privacy,"PhD in Electrical Engineering and Computer Science, Massachusetts Institute of Technology; MEng in Electrical Engineering and Computer Science, Massachusetts Institute of Technology; BS in Computer Science and Engineering, Massachusetts Institute of Technology",1948
Joshua Gancher,https://www.khoury.northeastern.edu/people/joshua-gancher/,"Joshua Gancher is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Formal methods; Programming languages; Security and privacy,"PhD in Computer Science, Cornell University; BA in Mathematics, Reed College",1949
Ariel Hamlin,https://www.khoury.northeastern.edu/people/ariel-hamlin-2/,"Ariel Hamlin is an assistant teaching professor at the Khoury College of Computer Sciences at Northeastern University, based in Boston.",,"PhD in Computer Science, Northeastern University; BS in Computer Science and Civil Engineering, Tufts University",1950
Engin Kirda,https://www.khoury.northeastern.edu/people/engin-kirda/,"Engin Kirda is a professor in the Khoury College of Computer Sciences and the College of Engineering at Northeastern University, based in Boston.","Systems, software, and network security; Web security; Binary analysis; Malware detection","PhD in Computer Science, Technical University of Vienna — Austria; MS in Computer Science, Technical University of Vienna — Austria; BS in Computer Science, Technical University of Vienna — Austria",1951
Ada Lerner,https://www.khoury.northeastern.edu/people/ada-lerner/,"Ada Lerner is an assistant professor and the director of the BS in Cybersecurity program at the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Human–computer interaction; Security and privacy,"PhD in Computer Science and Engineering, University of Washington; MS in Computer Science and Engineering, University of Washington; BA in Computer Science, Amherst College",1952
Alan Mislove,https://www.khoury.northeastern.edu/people/alan-mislove/,"Alan Mislove is a professor and the senior associate dean for academic affairs in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Network measurement; Networking; Online social networks; Security and privacy,"PhD in Computer Science, Rice University; MS in Computer Science, Rice University; BA in Computer Science, Rice University",1953
Cristina Nita-Rotaru,https://www.khoury.northeastern.edu/people/cristina-nita-rotaru/,"Cristina Nita-Rotaru is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. She is a founding member of Northeastern's Cybersecurity and Privacy Institute.",Distributed systems and network security; Insider-resilient systems; Analytics for security and fault tolerance; Automated testing and verification,"PhD, Johns Hopkins University; MS, Politechnica University of Bucharest — Romania; BS, Politechnica University of Bucharest —Romania",1954
William Robertson,https://www.khoury.northeastern.edu/people/william-robertson/,"William Robertson is an associate professor in the Khoury College of Computer Sciences and the College of Engineering at Northeastern University, based in Boston. He co-directs the Northeastern Systems Security Lab and is principal investigator for the Cybersecurity and Privacy Institute's Diverge Lab.",Systems security; Web security; Mobile security,"PhD in computer science, University of California, Santa Barbara; BS in computer science, University of California, Santa Barbara",1955
Mohit Singhal,https://www.khoury.northeastern.edu/people/mohit-singhal/,"Mohit Singhal is an assistant teaching professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Data science; Security and privacy,"PhD in Computer Science, The University of Texas at Arlington; MS in Computer Science, The University of Texas at Arlington; BTech in Computer Science and Engineering, Jaypee University of Information Technology — India",1956
Jessica Staddon,https://www.khoury.northeastern.edu/people/jessica-staddon/,"Jessica Staddon is a professor of the practice in the Khoury College of Computer Sciences at Northeastern University, based in Oakland.",Security and privacy; Online safety; Human–computer interaction,"PhD in Math, UC Berkeley; BA in Applied Math, UC Berkeley",1957
Christo Wilson,https://www.khoury.northeastern.edu/people/christo-wilson/,"Christo Wilson is a professor and the associate dean of undergraduate programs in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is a founding member of Northeastern's Cybersecurity and Privacy Institute.","Algorithm auditing, specifically the fairness of black-box algorithmic systems are; Online tracking and privacy; Public key infrastructures like SSL/TLS and DNSSEC","PhD in Computer Science, University of California, Santa Barbara; MS in Computer Science, University of California, Santa Barbara; BS in Computer Science, University of California, Santa Barbara",1958
Cheng Tan,https://www.khoury.northeastern.edu/people/cheng-tan/,"Cheng Tan is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Computer systems; Systems and networking; Security; Operating systems,"PhD in Computer Science, New York University; MS in Software Engineering, Fudan University — China; BE in Software Engineering, Nanjing University — China",1959
Maryam Tanha,https://www.khoury.northeastern.edu/people/maryam-tanha/,"Maryam Tanha is an assistant teaching professor in the Khoury College of Computer Sciences at Northeastern University, based in Vancouver.",Cybersecurity for Android mobile apps; Systems and networking,"PhD in Computer Science, University of Victoria — Canada; MSc in Network and Communications Engineering, Universiti Putra Malaysia — Malaysia; BSc in Software Engineering, Yazd University — Iran",1960
Ziming Zhao,https://www.khoury.northeastern.edu/people/ziming-zhao/,"Ziming Zhao is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Security and privacy; Systems and networking,"PhD in Computer Science, Arizona State University; MS in Cryptography, Beijing University of Posts and Telecommunications — China; BE in Automation, Beijing University of Posts and Telecommunications — China",1961
Ricardo Baeza-Yates,https://www.khoury.northeastern.edu/people/ricardo-baeza-yates/,"Ricardo Baeza-Yates is a professor of the practice and the director of research at Northeastern University's Institute for Experiential Artificial Intelligence, based in Silicon Valley.",Information retrieval; Web search and data mining; Data science and its associated algorithms,"PhD in Computer Science, University of Waterloo — Canada; MS in Computer Science, University of Chile in Santiago; MEng in Electronic Engineering, University of Chile in Santiago; BS in Electronic Engineering, University of Chile in Santiago",1962
Mario Nascimento,https://www.khoury.northeastern.edu/people/mario-nascimento/,"Mario Nascimento is a professor of the practice and the director of Pacific Northwest Research in the Khoury College of Computer Sciences at Northeastern University, based in Vancouver.",Spatiotemporal databases,"PhD in Computer Science, Southern Methodist University; MS in Electrical Engineering, State University of Campinas — Brazil; BS in Applied Mathematics, State University of Campinas — Brazil",1963
Mirek Riedewald,https://www.khoury.northeastern.edu/people/mirek-riedewald/,"Mirek Riedewald is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Databases; Data mining,"PhD in Computer Science, University of California, Santa Barbara; BS in Computer Science, Saarland University — Germany",1964
Albert-László Barabási,https://www.khoury.northeastern.edu/people/albert-laszlo-barabasi/,"Albert-László Barabási is the Robert Gray Dodge Professor of Network Science and a Distinguished University Professor at Northeastern University, based in Boston. He directs the Center for Complex Network Research and holds appointments in the College of Science and the Khoury College of Computer Sciences.",Network science; Properties of sub-cellular networks in understanding human disease; Control theory,"PhD in Physics, Boston University; MS in Theoretical Physics, Eötvös Loránd University — Hungary; BS in Physics and Engineering, University of Bucharest — Romania",1965
Miguel Fuentes-Cabrera,https://www.khoury.northeastern.edu/people/miguel-fuentes-cabrera/,"Miguel Fuentes-Cabrera is an associate teaching professor in the Khoury College of Computer Sciences at Northeastern University, based in Oakland.",,"PhD in Physics, University of La Laguna — Spain; BS in Physics, University of La Laguna — Spain",1966
Eric Gerber,https://www.khoury.northeastern.edu/people/eric-gerber/,"Eric Gerber is an assistant teaching professor in the fields of data science and statistics at the Khoury College of Computer Sciences at Northeastern University. He earned his bachelor’s in both international studies and mathematics from University of North Caroline Asheville, and his master’s and doctorate degrees in statistics from Purdue University.",Sports analytics; Bayesian hierarchical models; Predictive modeling,"PhD in Statistics, Purdue University; MS in Applied Statistics, Purdue University; BA in Mathematics (Statistics) , University of North Carolina Asheville; BA in Interdisciplinary Studies (International Studies), University of North Carolina Asheville",1967
Fatemeh Ghoreishi,https://www.khoury.northeastern.edu/people/fatemeh-ghoreishi/,"Seyede Fatemeh Ghoreishi is an assistant professor in the Khoury College of Computer Sciences and the College of Engineering at Northeastern University, based in Boston.",Machine learning; Artificial intelligence; Robotics; Bayesian statistics; Design under uncertainty; Stochastic optimization,"PhD in Mechanical Engineering, Texas A&M University; MSc in Mechanical Engineering, Texas A&M University; MSc in Biomedical Engineering, Iran University of Science and Technology; BS in Mechanical Engineering, University of Tehran — Iran",1968
Yifan Hu,https://www.khoury.northeastern.edu/people/yifan-hu/,"Yifan Hu is a professor of the practice in the Khoury College of Computer Sciences at Northeastern University, based in Seattle.",Data visualization; Machine learning; Artificial intelligence; Natural language processing and information retrieval; Network science,"PhD in Optimization, Loughborough University — United Kingdom; MSc in Applied Mathematics, Shanghai Jiao Tong University — China; BSc in Applied Mathematics, Shanghai Jiao Tong University — China",1969
David Lazer,https://www.khoury.northeastern.edu/people/david-lazer/,"David Lazer is a University Distinguished Professor of political science and computer science at Northeastern University, jointly appointed between the Khoury College of Computer Sciences and the College of Social Sciences and Humanities.",Computational social science; Network science; Collective cognition; Political networks and deliberative democracy; Social media and social influence in networks; Predictive modeling,"PhD in Political Science, University of Michigan; BA in Economics, Wesleyan University",1970
Christoph Riedl,https://www.khoury.northeastern.edu/people/christoph-riedl/,"Christoph Riedl is a professor in the D’Amore-McKim School of Business and the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is a core faculty member at the Network Science Institute and an affiliate at Harvard Business School's Institute for Quantitative Social Science, where he completed his postdoctoral fellowship.",Collective intelligence; Human–AI teaming; Crowdsourcing; Social influence/peer effects in social networks,"PhD in Information Systems, Technische University at Munchen — Germany; MS in Information Systems, Technische University at Munchen — Germany; BS in Computer Science, Technische University at Munchen — Germany",1971
Alessandro Vespignani,https://www.khoury.northeastern.edu/people/alessandrovespignani/,"Alessandro Vespignani is the Sternberg Distinguished University Professor at Northeastern University, based in Boston. He holds interdisciplinary appointments in the Khoury College of Computer Sciences, College of Science, and Bouvé College of Health Sciences.",Characterization and modeling of complex networks; Modeling the spatial spread of epidemics; Resilience of complex networks; Collective behavior of techno-social systems,"PhD in Physics, Sapienza University of Rome — Italy",1972
Enrico Bertini,https://www.khoury.northeastern.edu/people/enrico-bertini/,"Enrico Bertini is an associate professor in the Khoury College of Computer Science and the College of Arts, Media and Design at Northeastern University, based in Boston.",Visualization; Machine learning,"PhD in Computer Engineering, University of Rome, La Sapienza — Italy",1973
Michelle Borkin,https://www.khoury.northeastern.edu/people/michelle-borkin/,"Michelle Borkin is an assistant professor at the Khoury College of Computer Sciences at Northeastern University, based in Boston.","Information and scientific visualization; Human–computer interaction; Medical imaging and radiology; Astrophysics; Visualization, cognition, and perception","PhD in Applied Physics, Harvard University; MS in Applied Physics, Harvard University; BA in Astronomy, Astrophysics, and Physics, Harvard University",1974
Michael Correll,https://www.khoury.northeastern.edu/people/michael-correll/,"Michael Correll is an associate research professor in the Khoury College of Computer Sciences at Northeastern University, based at the Roux Institute in Portland, Maine.",,"PhD in Computer Science, University of Wisconsin–Madison; MS in Computer Sciences, University of Wisconsin–Madison; BA in Computer Science and Philosophy, St. Mary’s College of Maryland",1975
Cody Dunne,https://www.khoury.northeastern.edu/people/cody-dunne/,"Cody Dunne is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Information visualization; Visual analytics; Graph and network visualization; Data workflows; Data and analytic provenance; Human–computer interaction; Personal health informatics,"PhD in Computer Science, University of Maryland; MS in Computer Science, University of Maryland; BA in Computer Science and Mathematics, Cornell College",1976
Cliff Forlines,https://www.khoury.northeastern.edu/people/cliff-forlines/,"Clifton Forlines is an associate research professor in the Khoury College of Computer Sciences at Northeastern University, based in Portland, Maine.",Human–computer interaction; Data science; Data visualization; Virtual reality; Augmented reality; Extended reality,"PhD in Computer Science, University of Toronto — Canada; MS in Human-Computer Interaction, Carnegie Mellon University; MS in Entertainment Technology, Carnegie Mellon University; BFA in Industrial Design, Carnegie Mellon University",1977
